사업명,지원연도,지원기간,광역,기초,시장명,지원금액(단위_백만원)
문화관광형 시장,2022,‘21~'22,인천,미추홀구,석바위시장,270
문화관광형 시장,2022,‘21~'22,인천,남동구,인천모래내전통시장,240
문화관광형 시장,2022,‘21~'22,인천,계양구,계산시장,225
문화관광형 시장,2022,‘21~'22,광주,동구,남광주시장,228
문화관광형 시장,2022,‘21~'22,광주,동구,조대 장미의 거리,270
문화관광형 시장,2022,‘21~'22,광주,북구,말바우시장,228
문화관광형 시장,2022,‘21~'22,광주,광산구,월곡시장,200
문화관광형 시장,2022,‘21~'22,대전,동구,대전역전지하상가,240
문화관광형 시장,2022,‘21~'22,대전,중구,중앙로지하상가,240
문화관광형 시장,2022,‘21~'22,울산,남구,야음상가시장,190
문화관광형 시장,2022,‘21~'22,울산,남구,신정시장,200
문화관광형 시장,2022,‘21~'22,경기,부천시,부천중동시장,250
문화관광형 시장,2022,‘21~'22,경기,평택시,통복시장,160
문화관광형 시장,2022,‘21~'22,경기,군포시,산본시장,180
문화관광형 시장,2022,‘21~'22,경기,부천시,원미종합시장,200
문화관광형 시장,2022,‘21~'22,강원,원주시,중앙시민전통시장,160
문화관광형 시장,2022,‘21~'22,강원,정선군,고한구공탄시장,160
문화관광형 시장,2022,‘21~'22,충북,청주시,가경터미널시장,225
문화관광형 시장,2022,‘21~'22,충북,청주시,청주사창시장,200
문화관광형 시장,2022,‘21~'22,충북,음성군,무극시장,190
문화관광형 시장,2022,‘21~'22,충남,금산군,금산시장,152
문화관광형 시장,2022,‘21~'22,충남,공주시,유구시장,180
문화관광형 시장,2022,‘21~'22,충남,태안군,안면도수산시장,200
문화관광형 시장,2022,‘21~'22,경북,포항시,큰동해시장,225
문화관광형 시장,2022,‘21~'22,경북,김천시,김천평화시장,160
문화관광형 시장,2022,‘21~'22,경북,안동시,안동중앙신시장,152
문화관광형 시장,2022,‘21~'22,경남,창원시,창원반송시장,190
문화관광형 시장,2022,‘21~'22,경남,거제시,거제고현시장,200
문화관광형 시장,2022,‘21~'22,경남,거창군,거창시장,160
문화관광형 시장,2022,‘21~'22,전북,전주시,전주모래내시장,190
문화관광형 시장,2022,‘21~'22,전북,김제시,김제전통시장,200
문화관광형 시장,2022,‘21~'22,전남,목포시,자유시장,190
문화관광형 시장,2022,‘21~'22,전남,여수시,(주)여수수산시장,160
문화관광형 시장,2022,‘21~'22,전남,강진군,강진중앙로상가,200
첫걸음 기반조성,2022,‘22(단년도사업),서울,종로구,통인시장,135
첫걸음 기반조성,2022,‘22(단년도사업),서울,광진구,화양제일골목시장,135
첫걸음 기반조성,2022,‘22(단년도사업),서울,강북구,강북종합전통시장,135
첫걸음 기반조성,2022,‘22(단년도사업),서울,관악구,인헌시장,135
첫걸음 기반조성,2022,‘22(단년도사업),부산,동구,수정전통시장,162
첫걸음 기반조성,2022,‘22(단년도사업),부산,동래구,사직시장,162
첫걸음 기반조성,2022,‘22(단년도사업),부산,사하구,장림골목시장,162
첫걸음 기반조성,2022,‘22(단년도사업),대구,달서구,월배시장,162
첫걸음 기반조성,2022,‘22(단년도사업),대구,달서구,월배신시장,162
첫걸음 기반조성,2022,‘22(단년도사업),대구,달서구,성서아울렛상점가(가로형),162
첫걸음 기반조성,2022,‘22(단년도사업),인천,남동구,소래포구전통어시장,168
첫걸음 기반조성,2022,‘22(단년도사업),인천,부평구,일신시장(구 부일종합시장),162
첫걸음 기반조성,2022,‘22(단년도사업),인천,서구,루원음식문화거리 골목형상점가,162
첫걸음 기반조성,2022,‘22(단년도사업),광주,동구,남광주해뜨는시장,162
첫걸음 기반조성,2022,‘22(단년도사업),광주,동구,무등산상가거리상점가,162
첫걸음 기반조성,2022,‘22(단년도사업),대전,동구,용운시장,162
첫걸음 기반조성,2022,‘22(단년도사업),울산,동구,대송농수산물시장,162
첫걸음 기반조성,2022,‘22(단년도사업),경기,의정부시,의정부역지하상가,140
첫걸음 기반조성,2022,‘22(단년도사업),경기,이천시,사기막골도자기시장,108
첫걸음 기반조성,2022,‘22(단년도사업),충북,증평군,증평장뜰재래시장,135
첫걸음 기반조성,2022,‘22(단년도사업),충남,아산시,배방상점가,140
